ID;NEXT;COMMENT
V01;/v;PUNOA
V01*;/v ;KUTOA
V02;/v;MUISTAA
V02*;/v; 
V03;/v;HUUTAA
V04;/v;SOUTAA
V05;/v;PUOLTAA
V06;/v;MURTAA
V07;/v;SORTAA
V08;/v;PAHENTAA
V09;/v;KAIVAA
V09*;/v;
V10;/v;HAASTAA 
V10*;/v; 
V11;/v;PAISTAA
V11*;/v;
V12;/v;SAARTAA
V13;/v;LASKEA
V13*;/v; 
V14;/v;TUNTEA
V15;/v;POTEA
V16;lä-hte/v;LÄHTEÄ
V17;/v;SALLIA
V17*;/v;
V18;/v; NAIDA
V19;/v; SAADA
V20;/v;MYYDÄ
V21;/v;JUODA
V22;/v;VIEDÄ
V23;kä-y/v;KÄYDÄ
V24;/v;NUOLAISTA 
V24*;/v;
V25;/v;TULLA
V26;/v;PURRA
V27;/v;MENNÄ
V28;/v;KATSELLA
V28*;/v;
V29;/v;ARVAILLA
V30;haravo-i/v;
V31;vali-tse/v;
V32;juo-kse/v;
V33;nä-ke/v;
V34;ale-ne/v;  
V34*;ale-ne/v;  
V35;sala-A/v;  
V35*;sala-A/v;  
V36;katke-A/v;  
V36*;katke-A/v;  
V37;selvi-A/v;  
V37*;selvi-A/v;  
V38;koho-A/v;  
V38*;koho-A/v;  
V39;halu-A/v;
V39*;halu-A/v;
V40;sala-A/v;PALATA pala-V/v
V40*;sala-A/v;PALATA pala-V/v
V41;kih-ise/v;
V41ä;öl-ise/v;
V42n;rake-nTA/v;
V42;rie-nTA/v;
V43;tai-TA/v;
V44;antau-TU/v;
V45;kaa-TA/v;
